trade_id,direction,opened_at,closed_at,entry_price,exit_price,stop_price,target_price,pnl_usd,pnl_r,bars_held,exit_reason,outcome,composite_score,position_size_usd,r_amount
cd5bcc3b-546a-4bb8-9434-63b51cf6ff38,LONG,2024-10-19T11:00:00+00:00,2024-10-20T22:00:00+00:00,68064.60,68888.83,67545.44,69622.07,34.63,1.4938,35,trailing_stop,win,0.62,3039.73,23.19
6eab8437-47b4-43d1-91b6-8543c51fb7f8,SHORT,2024-11-03T18:00:00+00:00,2024-11-03T20:00:00+00:00,67996.80,68868.84,68868.84,65380.69,-40.32,-1.0000,2,stop_loss,loss,0.79,3143.63,40.32
2d4d17e5-cd2b-4ec8-b6c3-e2f84a43cb17,LONG,2024-11-09T23:00:00+00:00,2024-11-10T04:00:00+00:00,76701.70,79224.94,75860.62,79224.94,72.92,2.2000,5,target_reached,win,0.64,3022.68,33.15
921f2be4-d56b-4b4d-90cf-b109f8607c74,SHORT,2024-12-30T13:00:00+00:00,2024-12-30T17:00:00+00:00,92614.70,93732.81,93732.81,89260.38,-15.65,-0.4000,4,stop_loss,loss,0.67,3241.44,39.13
e817c578-9855-4ec4-9ef8-fa3c450373f6,LONG,2025-01-19T12:00:00+00:00,2025-01-19T22:00:00+00:00,104908.20,103192.63,103192.63,110054.92,-52.24,-1.0000,10,stop_loss,loss,0.70,3194.48,52.24
66c7699d-5048-4ba0-a8be-a197ac5dfa2e,LONG,2025-02-20T16:00:00+00:00,2025-02-21T14:00:00+00:00,97507.20,98663.03,96509.55,100500.15,34.53,1.1110,22,trailing_stop,win,0.79,3037.76,31.08
17c471c7-af5f-40e7-a4f6-1006eb391262,SHORT,2025-02-27T14:00:00+00:00,2025-02-28T02:00:00+00:00,84960.20,82726.21,87518.53,77285.20,107.52,1.1366,12,trailing_stop,win,0.65,3141.36,94.59
058c9f00-a40e-48b4-a4af-681f15d4f3a2,LONG,2025-04-16T14:00:00+00:00,2025-04-16T17:00:00+00:00,84563.00,83432.34,83432.34,87954.99,-46.31,-1.0000,3,stop_loss,loss,0.74,3463.90,46.31
9c9d7cfc-d816-4a31-bce5-323cd0ec0069,LONG,2025-05-15T15:00:00+00:00,2025-05-17T15:00:00+00:00,103191.80,103191.80,103191.80,107186.03,12.87,0.3000,48,stop_loss,win,0.78,3324.96,42.90
4dfb2401-e1e0-493b-8700-cd464808cdf5,SHORT,2025-05-30T16:00:00+00:00,2025-06-01T16:00:00+00:00,103875.40,103875.40,103875.40,99325.37,0.00,0.0000,48,stop_loss,breakeven,0.82,3363.57,49.11
831228d3-3624-4d5c-82d6-9047f4433a9c,LONG,2025-06-11T14:00:00+00:00,2025-06-11T18:00:00+00:00,109829.40,108818.44,108818.44,112862.29,-30.96,-1.0000,4,stop_loss,loss,0.74,3363.57,30.96
0f278fa7-28e6-4fef-9307-8fedce686f17,LONG,2025-06-24T16:00:00+00:00,2025-06-29T16:00:00+00:00,106175.60,107498.80,106175.60,110445.88,41.69,0.9507,120,time_stop,win,0.71,3270.68,43.85
69134c11-487b-4993-a8ea-dd4c21aaad02,SHORT,2025-08-22T02:00:00+00:00,2025-08-22T14:00:00+00:00,113123.10,114275.77,114275.77,109665.10,-13.84,-0.4000,12,stop_loss,loss,0.60,3395.74,34.60
d4d6bde5-ddcf-406b-833f-ca5ecdbbfc7f,SHORT,2025-10-17T06:00:00+00:00,2025-10-19T06:00:00+00:00,106697.00,106697.00,106697.00,101024.29,17.83,0.3000,48,stop_loss,win,0.67,3354.22,59.44
8fedb615-56c8-42af-8111-f5db9960ec73,SHORT,2025-11-04T05:00:00+00:00,2025-11-05T03:00:00+00:00,104153.10,102083.70,106701.94,96506.57,92.23,1.1059,22,trailing_stop,win,0.67,3407.72,83.39
79dd7af6-6d56-47a4-9da2-3448c9379af0,LONG,2025-11-26T17:00:00+00:00,2025-11-28T13:00:00+00:00,89809.20,91473.53,88234.04,94534.68,67.18,1.0396,44,trailing_stop,win,0.64,3684.41,64.62
